cell_id,cycle_index,capacity,soh,ambient_temperature,v_mean,t_mean,discharge_duration,energy_discharged,eol_threshold,eol_cycle,rul_true,capacity_diff,is_regeneration,mission_profile
AUV_PACK_CELL_01,1,2.0389269132565797,101.94634566282899,13.663293526542075,3.651577873603483,21.366079697144894,3204.8548292496803,26.776819366416014,1.4,199,198,0.0,0,DEEP_DIVE
AUV_PACK_CELL_01,2,2.033679702510345,101.68398512551724,15.253893144606401,3.6516078452636824,23.454205633129515,3173.1675201373355,26.69326630326978,1.4,199,197,-0.005247210746234909,0,SURFACE_TRANSIT
AUV_PACK_CELL_01,3,2.0340131872301783,101.70065936150891,16.702282018339787,3.654830512431753,25.20490386819888,3193.544088801585,26.68299859536037,1.4,199,196,0.0003334847198335211,0,SURVEY_CRUISE
AUV_PACK_CELL_01,4,2.0345504928867157,101.72752464433579,17.945158603819152,3.652538020520349,26.468648900701524,3194.334567882074,26.675398422336308,1.4,199,195,0.0005373056565374235,0,DEEP_DIVE
AUV_PACK_CELL_01,5,2.02436045021408,101.218022510704,18.928203230275507,3.626223306320429,27.203170494535886,3173.7015235483555,26.527219339605303,1.4,199,194,-0.01019004267263579,0,SURFACE_TRANSIT
AUV_PACK_CELL_01,6,2.020967524190398,101.0483762095199,19.60845213036123,3.628621749600849,28.41987709653498,3189.151937188371,26.468207470816804,1.4,199,193,-0.003392926023682019,0,SURVEY_CRUISE
AUV_PACK_CELL_01,7,2.0245724053313845,101.22862026656922,19.956175162946188,3.6411503526720868,27.92236494825489,3142.8931620134463,26.500842956825693,1.4,199,192,0.00360488114098656,0,DEEP_DIVE
AUV_PACK_CELL_01,8,2.0174090314563644,100.87045157281823,19.956175162946188,3.639137859509122,28.38498542043554,3129.3301794503286,26.39255191312474,1.4,199,191,-0.007163373875020085,0,SURFACE_TRANSIT
AUV_PACK_CELL_01,9,2.0082773308839292,100.41386654419647,19.60845213036123,3.6371504768630607,28.168599946217178,3114.819196266436,26.258627756773553,1.4,199,190,-0.009131700572435175,0,SURVEY_CRUISE
AUV_PACK_CELL_01,10,2.007885701223847,100.39428506119235,18.92820323027551,3.668527314906547,27.685422647304886,3157.440664672338,26.23905034359323,1.4,199,189,-0.0003916296600823266,0,DEEP_DIVE
AUV_PACK_CELL_01,11,1.999190045910515,99.95950229552575,17.945158603819156,3.6337089051069316,26.8009660428636,3138.315484845311,26.111021351628054,1.4,199,188,-0.00869565531333194,0,SURFACE_TRANSIT
